County,Year,Total,Felony Total,Drug Felony,Violent Felony,DWI Felony,Other Felony,Misdemeanor Total,Drug Misdemeanor,DWI Misdemeanor,Property Misdemeanor,Other Misdemeanor
Rockland,2021,2379,860,73,275,45,467,1519,124,326,357,712
St. Lawrence,2021,1771,553,133,104,35,281,1218,293,256,311,358
Saratoga,2021,3007,921,119,174,77,551,2086,258,503,591,734
Schenectady,2021,2944,1023,120,211,45,647,1921,121,202,750,848
Schoharie,2021,370,100,17,21,15,47,270,28,60,88,94
Schuyler,2021,272,105,13,10,11,71,167,28,43,45,51
Seneca,2021,593,219,15,27,25,152,374,32,87,127,128
Steuben,2021,1928,697,188,136,44,329,1231,262,248,322,399
Suffolk,2021,11928,3571,569,813,333,1856,8357,1308,1923,1881,3245
Sullivan,2021,1568,528,92,116,59,261,1040,241,254,286,259
Tioga,2021,495,168,27,44,11,86,327,65,44,73,145
Tompkins,2021,889,238,15,70,14,139,651,44,84,282,241
Ulster,2021,3121,978,185,149,116,528,2143,319,667,449,708
Warren,2021,1459,423,61,51,36,275,1036,150,158,377,351
Washington,2021,843,249,24,39,18,168,594,103,115,110,266
Wayne,2021,1146,375,13,85,44,233,771,67,144,246,314
Westchester,2021,9356,2997,312,850,225,1610,6359,623,1458,1524,2754
Wyoming,2021,612,224,27,60,36,101,388,52,147,61,128
Yates,2021,258,93,15,6,12,60,165,10,49,30,76
Albany,2022,5304,2237,264,616,101,1256,3067,236,561,1046,1224
Allegany,2022,680,232,11,69,12,140,448,31,103,123,191
Bronx,2022,37183,15611,1407,7310,73,6821,21572,1579,448,5810,13735
Broome,2022,4497,1507,152,389,45,921,2990,386,313,1294,997
Cattaraugus,2022,1606,523,52,108,39,324,1083,111,173,415,384
Cayuga,2022,1249,395,39,62,32,262,854,42,143,310,359
Chautauqua,2022,3637,1244,238,252,62,692,2393,337,335,787,934
Chemung,2022,2111,656,97,165,31,363,1455,295,181,509,470
Chenango,2022,786,260,27,58,15,160,526,94,56,178,198
Clinton,2022,1344,378,50,77,42,209,966,91,172,381,322
Columbia,2022,896,256,39,49,39,129,640,71,227,155,187
Cortland,2022,1037,334,35,62,31,206,703,79,116,245,263
Delaware,2022,573,190,9,53,17,111,383,36,81,99,167
Dutchess,2022,3280,1005,137,218,111,539,2275,133,653,691,798
Erie,2022,13470,5048,586,1496,224,2742,8422,913,1297,3035,3177
Essex,2022,604,199,29,40,13,117,405,56,117,89,143
Franklin,2022,1108,385,87,71,10,217,723,101,83,263,276
Fulton,2022,792,288,27,75,14,172,504,80,104,113,207
Genesee,2022,1222,444,37,86,43,278,778,72,162,262,282
Greene,2022,1233,381,83,73,34,191,852,145,269,152,286
Hamilton,2022,34,8,1,2,0,5,26,1,11,2,12
Herkimer,2022,926,253,10,55,16,172,673,55,136,280,202
Jefferson,2022,1693,555,62,106,19,368,1138,79,203,452,404
Kings,2022,41512,20441,1427,8111,133,10770,21071,1425,648,6603,12395
Lewis,2022,302,116,30,17,12,57,186,9,61,43,73
Livingston,2022,935,327,51,36,32,208,608,108,153,126,221
Madison,2022,1182,400,29,72,23,276,782,79,120,308,275
Monroe,2022,9525,3657,304,1245,265,1843,5868,181,1003,2515,2169
Montgomery,2022,1162,339,40,71,27,201,823,129,114,262,318
Nassau,2022,13476,5174,876,1329,146,2823,8302,1557,1224,2178,3343
New York,2022,37926,16366,1613,5736,57,8960,21560,2858,374,8063,10265
Niagara,2022,3649,1330,168,337,76,749,2319,252,414,664,989
Oneida,2022,4511,1102,79,272,31,720,3409,213,305,1600,1291
Onondaga,2022,8506,3344,231,961,108,2044,5162,424,689,2105,1944
Ontario,2022,1497,587,45,121,57,364,910,48,208,313,341
Orange,2022,6026,1888,246,406,247,989,4138,445,1301,1129,1263
Orleans,2022,553,196,12,51,9,124,357,11,75,113,158
Oswego,2022,2528,750,75,168,46,461,1778,119,231,783,645
Otsego,2022,836,255,21,69,10,155,581,57,104,180,240
Putnam,2022,897,228,31,48,33,116,669,66,335,78,190
Queens,2022,31382,15070,1057,5709,132,8172,16312,769,746,4288,10509
Rensselaer,2022,2397,903,80,235,32,556,1494,76,243,554,621
Richmond,2022,6614,2918,280,965,33,1640,3696,451,198,994,2053
Rockland,2022,2551,882,63,275,68,476,1669,110,488,393,678
St. Lawrence,2022,1777,576,114,101,29,332,1201,178,239,385,399
Saratoga,2022,3359,1104,172,187,105,640,2255,219,545,685,806
Schenectady,2022,2946,1066,60,272,43,691,1880,70,184,751,875
Schoharie,2022,348,104,11,14,13,66,244,21,41,72,110
Schuyler,2022,339,132,16,18,6,92,207,34,54,65,54
Seneca,2022,612,227,23,37,18,149,385,25,81,131,148
Steuben,2022,1883,733,109,144,44,436,1150,142,189,356,463
Suffolk,2022,13072,3523,645,837,325,1716,9549,1270,2065,2552,3662
Sullivan,2022,1528,578,68,122,50,338,950,140,273,286,251
Tioga,2022,565,179,14,45,13,107,386,79,58,82,167
Tompkins,2022,1211,449,16,118,17,298,762,50,125,300,287
Ulster,2022,3234,1090,166,202,142,580,2144,227,825,386,706
Warren,2022,1635,484,71,58,38,317,1151,160,162,416,413
Washington,2022,850,319,24,63,21,211,531,44,79,121,287
Wayne,2022,1160,360,9,62,40,249,800,27,137,358,278
Westchester,2022,10444,3621,323,1007,225,2066,6823,473,1515,1783,3052
Wyoming,2022,628,257,31,59,34,133,371,46,113,59,153
Yates,2022,229,87,6,13,9,59,142,8,25,27,82
